source,source_detail,text,rating,date,url,themes,mode
play_store,com.myntra.android,app is not opening always even after numerios tried.why all the time site maintaince showing me . Fix the problem otherwise i cancel all my orders & uninstall this app . This is so irritating..,1,2026-08-19,,,rules
play_store,com.myntra.android,such a nice and easy shopping app,5,2026-08-19,,,rules
play_store,com.myntra.android,The no way to confirm when the out for delivery order will reach as agent wont pick up and tgere is no help line number to call and get help myntra wants customers to email most other online big shopping sites have a helip lihe to call and speak to in myntra its so difficulty to get help if asked help PMO will respond but myntra is like deaf ears hope less,2,2026-08-19,,,rules
play_store,com.myntra.android,The Shopping Experoence is Great Return And Replacment Polocy is Helpful even Customer Care Service People are Great and Helpful,5,2026-08-19,,,rules
play_store,com.myntra.android,very nice app helpfull,5,2026-08-19,,,rules
play_store,com.myntra.android,Excellent in style quality size . Go for it. best app for good quality,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,very nice and perfect size with comfortable...so beautiful ❤️ ❤️ ❤️ i like it...,5,2026-08-19,,,rules
play_store,com.myntra.android,app is good with good rates but the platform fees is too high,5,2026-08-19,,,rules
play_store,com.myntra.android,"​""Extremely disappointed with Myntra's terrible service and policies. I ordered an iron, but they refused to process either a return or an exchange, completely forcing the item on me. To make matters worse, I ordered a pair of trousers from a different account, and the exact same thing happened—they forced me to keep it and refused to take it back. Myntra has become the worst and most unreliable shopping app. I strongly advise everyone to avoid buying anything from here.""",1,2026-08-19,,delivery_return_fear,rules
play_store,com.myntra.android,found it best among all other shopping apps.,5,2026-08-19,,,rules
play_store,com.myntra.android,Unable to cancel order .....,4,2026-08-19,,,rules
play_store,com.myntra.android,good product 👍😄,5,2026-08-19,,,rules
play_store,com.myntra.android,myntra is fraud now a days they are not refunding our money and not even respond calls or messages or e-mail. instead of correct bank details they are showing incorrect and not refunding money.,1,2026-08-19,,,rules
play_store,com.myntra.android,Good quality products,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,i have purchase many products on this app all product was awesome I suggest other people for purchase items from myntra app. authentic brands original products and the quality is very good of all products.,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,value for money products.,5,2026-08-19,,,rules
play_store,com.myntra.android,the delivery system is very amazing as ingot the exchange delivered in time .So did the myntra responded to my concerns,5,2026-08-19,,delivery_return_fear,rules
play_store,com.myntra.android,very bad Myntra bhai likha kar bata raha hu ki 100 ki chiz ko ye 500 ki dete h aj hi mai ne paint mangai h ek dam bekar quality ki di h Mt lo bhai log Myntra se,1,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,fascinating experience,5,2026-08-19,,,rules
play_store,com.myntra.android,Overall Good Experience,5,2026-08-19,,,rules
play_store,com.myntra.android,I lovethis app sooo much gives reasonable prices i ordered a pack of aqualogica body mist on its original website and on purple it costs 1000 and I bought it just for 699,5,2026-08-19,,,rules
play_store,com.myntra.android,extremely poor grievance redressal mechanism there is no contact with the customer care team - its impossible to access people there - i am done with talking to bots no one picks up the customer care no. extremely poor performance - very unsatisfied,1,2026-08-19,,,rules
play_store,com.myntra.android,easy delivery process.good app,5,2026-08-19,,,rules
